fold,accuracy,roc_auc,pr_auc
0,0.8770,0.9332,0.8487
1,0.8522,0.9083,0.8038
2,0.8657,0.9279,0.8414
3,0.8748,0.9297,0.8448
4,0.8808,0.9329,0.8559
mean,0.8701,0.9264,0.8389
std,0.0103,0.0093,0.0182
