fold,accuracy,roc_auc,pr_auc
0,0.8448,0.8903,0.7600
1,0.8259,0.8706,0.7214
2,0.8319,0.8798,0.7551
3,0.8467,0.8863,0.7585
4,0.8515,0.8941,0.7781
mean,0.8402,0.8842,0.7546
std,0.0096,0.0083,0.0184
