fold,accuracy,roc_auc,pr_auc
0,0.8571,0.9114,0.8043
1,0.8404,0.8941,0.7687
2,0.8433,0.9015,0.7922
3,0.8603,0.9109,0.8143
4,0.8610,0.9142,0.8056
mean,0.8524,0.9064,0.7970
std,0.0088,0.0075,0.0158
