fold,accuracy,roc_auc,pr_auc
0,0.8651,0.9189,0.8252
1,0.8428,0.8953,0.7721
2,0.8537,0.9121,0.8122
3,0.8666,0.9177,0.8206
4,0.8698,0.9225,0.8269
mean,0.8596,0.9133,0.8114
std,0.0100,0.0096,0.0203
