fold,accuracy,roc_auc,pr_auc
0,0.8557,0.9070,0.8020
1,0.8384,0.8879,0.7553
2,0.8411,0.8990,0.7819
3,0.8598,0.9096,0.7927
4,0.8660,0.9155,0.8127
mean,0.8522,0.9038,0.7889
std,0.0107,0.0095,0.0197
